"","sex","verhoogde_tegemoetkoming","nis","age","population"
"1","M",TRUE,11001,"(-1,5]",30.0842397575425
"2","M",TRUE,11001,"(5,16]",78.287701558817
"3","M",TRUE,11001,"(16,50]",152.891646998624
"4","M",TRUE,11001,"(50,65]",88.0312847297644
"5","M",TRUE,11001,"(65,85]",116.424330655134
"6","M",TRUE,11001,"(85,110]",23.4217963001186
"7","M",TRUE,11002,"(-1,5]",6875.74117548341
"8","M",TRUE,11002,"(5,16]",13667.1831796436
"9","M",TRUE,11002,"(16,50]",28979.3986677778
"10","M",TRUE,11002,"(50,65]",10233.6938950147
"11","M",TRUE,11002,"(65,85]",10327.5966003468
"12","M",TRUE,11002,"(85,110]",3008.42448173365
"13","M",TRUE,11004,"(-1,5]",35.4763072849963
"14","M",TRUE,11004,"(5,16]",110.207312466114
"15","M",TRUE,11004,"(16,50]",213.497755349494
"16","M",TRUE,11004,"(50,65]",122.253224598264
"17","M",TRUE,11004,"(65,85]",124.087140138066
"18","M",TRUE,11004,"(85,110]",32.0662601630647
"19","M",TRUE,11005,"(-1,5]",145.066369856855
"20","M",TRUE,11005,"(5,16]",315.7663203094
"21","M",TRUE,11005,"(16,50]",564.862761584269
"22","M",TRUE,11005,"(50,65]",245.054751123399
"23","M",TRUE,11005,"(65,85]",248.607924687591
"24","M",TRUE,11005,"(85,110]",68.865872438487
"25","M",TRUE,11007,"(-1,5]",81.1957513791357
"26","M",TRUE,11007,"(5,16]",135.553642932826
"27","M",TRUE,11007,"(16,50]",280.319854328462
"28","M",TRUE,11007,"(50,65]",134.114614233114
"29","M",TRUE,11007,"(65,85]",146.941473818255
"30","M",TRUE,11007,"(85,110]",28.1846633082068
"31","M",TRUE,11008,"(-1,5]",110.996542129265
"32","M",TRUE,11008,"(5,16]",281.966806693842
"33","M",TRUE,11008,"(16,50]",553.134918292803
"34","M",TRUE,11008,"(50,65]",329.059124352178
"35","M",TRUE,11008,"(65,85]",388.133246780011
"36","M",TRUE,11008,"(85,110]",104.049361751901
"37","M",TRUE,11009,"(-1,5]",84.084483114381
"38","M",TRUE,11009,"(5,16]",189.011316074299
"39","M",TRUE,11009,"(16,50]",416.595742949429
"40","M",TRUE,11009,"(50,65]",247.208341233893
"41","M",TRUE,11009,"(65,85]",225.878448237109
"42","M",TRUE,11009,"(85,110]",45.2866683908902
"43","M",TRUE,11013,"(-1,5]",78.4032447547347
"44","M",TRUE,11013,"(5,16]",161.321678326932
"45","M",TRUE,11013,"(16,50]",313.807490870881
"46","M",TRUE,11013,"(50,65]",161.269768924292
"47","M",TRUE,11013,"(65,85]",207.290926190234
"48","M",TRUE,11013,"(85,110]",65.0088909329275
"49","M",TRUE,11016,"(-1,5]",74.9366206001067
"50","M",TRUE,11016,"(5,16]",173.030440325023
"51","M",TRUE,11016,"(16,50]",334.124812598414
"52","M",TRUE,11016,"(50,65]",185.345810066137
"53","M",TRUE,11016,"(65,85]",176.601370370366
"54","M",TRUE,11016,"(85,110]",36.4179460399532
"55","M",TRUE,11018,"(-1,5]",56.3069132929347
"56","M",TRUE,11018,"(5,16]",138.636405202632
"57","M",TRUE,11018,"(16,50]",235.350536480246
"58","M",TRUE,11018,"(50,65]",108.269472149426
"59","M",TRUE,11018,"(65,85]",106.834357636299
"60","M",TRUE,11018,"(85,110]",23.6903152384615
"61","M",TRUE,11021,"(-1,5]",13.973417670271
"62","M",TRUE,11021,"(5,16]",42.2938443827481
"63","M",TRUE,11021,"(16,50]",71.4642954266834
"64","M",TRUE,11021,"(50,65]",45.3614275569804
"65","M",TRUE,11021,"(65,85]",52.0511396685925
"66","M",TRUE,11021,"(85,110]",16.1598752947246
"67","M",TRUE,11022,"(-1,5]",51.255776601865
"68","M",TRUE,11022,"(5,16]",119.020107356301
"69","M",TRUE,11022,"(16,50]",235.525221453709
"70","M",TRUE,11022,"(50,65]",124.783378028603
"71","M",TRUE,11022,"(65,85]",145.329292646815
"72","M",TRUE,11022,"(85,110]",35.914223912707
"73","M",TRUE,11023,"(-1,5]",63.49118449817
"74","M",TRUE,11023,"(5,16]",156.316537561836
"75","M",TRUE,11023,"(16,50]",296.775417528164
"76","M",TRUE,11023,"(50,65]",176.563091047589
"77","M",TRUE,11023,"(65,85]",199.640614681333
"78","M",TRUE,11023,"(85,110]",53.653154682907
"79","M",TRUE,11024,"(-1,5]",51.8297641340113
"80","M",TRUE,11024,"(5,16]",138.848084412327
"81","M",TRUE,11024,"(16,50]",265.314713513736
"82","M",TRUE,11024,"(50,65]",143.304126992246
"83","M",TRUE,11024,"(65,85]",152.071948240616
"84","M",TRUE,11024,"(85,110]",38.4993627070642
"85","M",TRUE,11025,"(-1,5]",18.927909059168
"86","M",TRUE,11025,"(5,16]",54.2375766388207
"87","M",TRUE,11025,"(16,50]",97.2820368509541
"88","M",TRUE,11025,"(50,65]",57.2808683835179
"89","M",TRUE,11025,"(65,85]",53.3499216135669
"90","M",TRUE,11025,"(85,110]",9.90268745397242
"91","M",TRUE,11029,"(-1,5]",131.013506410225
"92","M",TRUE,11029,"(5,16]",288.581002149425
"93","M",TRUE,11029,"(16,50]",565.048127104507
"94","M",TRUE,11029,"(50,65]",266.777337749401
"95","M",TRUE,11029,"(65,85]",275.293953045141
"96","M",TRUE,11029,"(85,110]",102.556073541301
"97","M",TRUE,11030,"(-1,5]",53.5563506445775
"98","M",TRUE,11030,"(5,16]",115.012030584457
"99","M",TRUE,11030,"(16,50]",215.381060262997
"100","M",TRUE,11030,"(50,65]",92.3003632518399
"101","M",TRUE,11030,"(65,85]",86.5889472665955
"102","M",TRUE,11030,"(85,110]",21.2412479895328
"103","M",TRUE,11035,"(-1,5]",47.4881669399606
"104","M",TRUE,11035,"(5,16]",119.941437775115
"105","M",TRUE,11035,"(16,50]",244.467736486581
"106","M",TRUE,11035,"(50,65]",142.474278427986
"107","M",TRUE,11035,"(65,85]",157.943851516208
"108","M",TRUE,11035,"(85,110]",29.9325288541491
"109","M",TRUE,11037,"(-1,5]",39.4550861696302
"110","M",TRUE,11037,"(5,16]",102.821219092772
"111","M",TRUE,11037,"(16,50]",193.477187295983
"112","M",TRUE,11037,"(50,65]",103.63750278887
"113","M",TRUE,11037,"(65,85]",107.750741208965
"114","M",TRUE,11037,"(85,110]",31.0512634437797
"115","M",TRUE,11038,"(-1,5]",25.5373787320362
"116","M",TRUE,11038,"(5,16]",62.2966721174239
"117","M",TRUE,11038,"(16,50]",120.679883759631
"118","M",TRUE,11038,"(50,65]",64.8307931527863
"119","M",TRUE,11038,"(65,85]",69.601513636429
"120","M",TRUE,11038,"(85,110]",13.7817586016934
"121","M",TRUE,11039,"(-1,5]",36.3464905625322
"122","M",TRUE,11039,"(5,16]",99.7250954730009
"123","M",TRUE,11039,"(16,50]",180.210000242641
"124","M",TRUE,11039,"(50,65]",122.543633886037
"125","M",TRUE,11039,"(65,85]",145.562977199846
"126","M",TRUE,11039,"(85,110]",39.026802635943
"127","M",TRUE,11040,"(-1,5]",113.998975610318
"128","M",TRUE,11040,"(5,16]",271.021084341683
"129","M",TRUE,11040,"(16,50]",535.281192193055
"130","M",TRUE,11040,"(50,65]",299.859233530893
"131","M",TRUE,11040,"(65,85]",323.479294214982
"132","M",TRUE,11040,"(85,110]",90.7062201090689
"133","M",TRUE,11044,"(-1,5]",48.5441544108594
"134","M",TRUE,11044,"(5,16]",130.458890609535
"135","M",TRUE,11044,"(16,50]",258.081450129218
"136","M",TRUE,11044,"(50,65]",134.482070368974
"137","M",TRUE,11044,"(65,85]",136.062283126721
"138","M",TRUE,11044,"(85,110]",26.5181513546924
"139","M",TRUE,11050,"(-1,5]",32.3091842033804
"140","M",TRUE,11050,"(5,16]",78.3363384473706
"141","M",TRUE,11050,"(16,50]",157.205718675601
"142","M",TRUE,11050,"(50,65]",89.6778230507359
"143","M",TRUE,11050,"(65,85]",91.9275123622231
"144","M",TRUE,11050,"(85,110]",30.394423260689
"145","M",TRUE,11052,"(-1,5]",40.4592916621624
"146","M",TRUE,11052,"(5,16]",95.6826570197568
"147","M",TRUE,11052,"(16,50]",199.792746530573
"148","M",TRUE,11052,"(50,65]",114.088077133653
"149","M",TRUE,11052,"(65,85]",117.692121657985
"150","M",TRUE,11052,"(85,110]",31.2531059958701
"151","M",TRUE,11053,"(-1,5]",68.7565273949132
"152","M",TRUE,11053,"(5,16]",162.974281951862
"153","M",TRUE,11053,"(16,50]",340.641616425722
"154","M",TRUE,11053,"(50,65]",184.760944713822
"155","M",TRUE,11053,"(65,85]",167.579063003313
"156","M",TRUE,11053,"(85,110]",37.4305665103682
"157","M",TRUE,11054,"(-1,5]",36.5776804745749
"158","M",TRUE,11054,"(5,16]",98.994936756451
"159","M",TRUE,11054,"(16,50]",198.801427080099
"160","M",TRUE,11054,"(50,65]",124.590028231904
"161","M",TRUE,11054,"(65,85]",134.234134488251
"162","M",TRUE,11054,"(85,110]",29.6497929687198
"163","M",TRUE,11055,"(-1,5]",55.1431074354323
"164","M",TRUE,11055,"(5,16]",163.012407547417
"165","M",TRUE,11055,"(16,50]",301.788967987609
"166","M",TRUE,11055,"(50,65]",193.764873722736
"167","M",TRUE,11055,"(65,85]",221.044128728122
"168","M",TRUE,11055,"(85,110]",43.4055145786825
"169","M",TRUE,11056,"(-1,5]",80.6355342441366
"170","M",TRUE,11056,"(5,16]",193.055135252629
"171","M",TRUE,11056,"(16,50]",366.161200327919
"172","M",TRUE,11056,"(50,65]",204.887381745699
"173","M",TRUE,11056,"(65,85]",205.794313142834
"174","M",TRUE,11056,"(85,110]",60.0934352867825
"175","M",TRUE,11057,"(-1,5]",58.1983437284252
"176","M",TRUE,11057,"(5,16]",150.512198914753
"177","M",TRUE,11057,"(16,50]",298.357737900106
"178","M",TRUE,11057,"(50,65]",165.060072905391
"179","M",TRUE,11057,"(65,85]",159.304672176064
"180","M",TRUE,11057,"(85,110]",38.6669743752606
"181","M",TRUE,12002,"(-1,5]",40.8202033494508
"182","M",TRUE,12002,"(5,16]",112.638614036322
"183","M",TRUE,12002,"(16,50]",224.677093225239
"184","M",TRUE,12002,"(50,65]",129.29546857324
"185","M",TRUE,12002,"(65,85]",127.62571639379
"186","M",TRUE,12002,"(85,110]",36.7169044219581
"187","M",TRUE,12005,"(-1,5]",33.2110684587249
"188","M",TRUE,12005,"(5,16]",96.6651566046289
"189","M",TRUE,12005,"(16,50]",173.598380782406
"190","M",TRUE,12005,"(50,65]",108.885701996515
"191","M",TRUE,12005,"(65,85]",117.474977655827
"192","M",TRUE,12005,"(85,110]",38.0827145018979
"193","M",TRUE,12007,"(-1,5]",58.2260635237465
"194","M",TRUE,12007,"(5,16]",160.114437611749
"195","M",TRUE,12007,"(16,50]",323.576114719848
"196","M",TRUE,12007,"(50,65]",184.406738908171
"197","M",TRUE,12007,"(65,85]",199.256177808683
"198","M",TRUE,12007,"(85,110]",45.5724674278025
"199","M",TRUE,12009,"(-1,5]",62.1421844288861
"200","M",TRUE,12009,"(5,16]",172.994803646935
"201","M",TRUE,12009,"(16,50]",336.749036600834
"202","M",TRUE,12009,"(50,65]",170.911721448434
"203","M",TRUE,12009,"(65,85]",176.568257770512
"204","M",TRUE,12009,"(85,110]",40.9219961043994
"205","M",TRUE,12014,"(-1,5]",164.420046493135
"206","M",TRUE,12014,"(5,16]",396.421770815396
"207","M",TRUE,12014,"(16,50]",855.604772166155
"208","M",TRUE,12014,"(50,65]",482.550651656713
"209","M",TRUE,12014,"(65,85]",509.88529360868
"210","M",TRUE,12014,"(85,110]",119.277465259922
"211","M",TRUE,12021,"(-1,5]",168.279563975547
"212","M",TRUE,12021,"(5,16]",421.551575741583
"213","M",TRUE,12021,"(16,50]",926.892665994221
"214","M",TRUE,12021,"(50,65]",458.137352438369
"215","M",TRUE,12021,"(65,85]",500.461640476411
"216","M",TRUE,12021,"(85,110]",131.401201373869
"217","M",TRUE,12025,"(-1,5]",675.563160282747
"218","M",TRUE,12025,"(5,16]",1438.44647127572
"219","M",TRUE,12025,"(16,50]",2871.11683471712
"220","M",TRUE,12025,"(50,65]",1171.53229598557
"221","M",TRUE,12025,"(65,85]",1148.88394439953
"222","M",TRUE,12025,"(85,110]",324.477293339314
"223","M",TRUE,12026,"(-1,5]",86.266117382728
"224","M",TRUE,12026,"(5,16]",214.492172333234
"225","M",TRUE,12026,"(16,50]",436.175252464919
"226","M",TRUE,12026,"(50,65]",229.638445565962
"227","M",TRUE,12026,"(65,85]",257.821745083281
"228","M",TRUE,12026,"(85,110]",59.173267169876
"229","M",TRUE,12029,"(-1,5]",64.0358288584984
"230","M",TRUE,12029,"(5,16]",164.701881430686
"231","M",TRUE,12029,"(16,50]",332.823297736483
"232","M",TRUE,12029,"(50,65]",187.378097953174
"233","M",TRUE,12029,"(65,85]",199.457787725053
"234","M",TRUE,12029,"(85,110]",46.7941062961058
"235","M",TRUE,12035,"(-1,5]",62.8981383677791
"236","M",TRUE,12035,"(5,16]",179.08921529046
"237","M",TRUE,12035,"(16,50]",346.024435570035
