parameter,mean,sd,0.025quant,0.5quant,0.975quant,mode,kld
intercept,-3.60986590385437,0.0644598975777626,-3.737362323749587,-3.6096123996205374,-3.483893548868806,-3.6091010570526123,1.420714553152999e-6
M,0.00483077485114336,0.017945410683751106,-0.030412266377207724,0.004833870218481901,0.04002303065730561,0.004841608926653862,4.859604537010609e-7
"(-1,5]",1.5428801774978638,0.030324662104249,1.483240556524454,1.542914364768812,1.6022717320354918,1.5429853200912476,9.434506292846682e-7
"(5,16]",-0.16503451764583588,0.040806327015161514,-0.24570076313239964,-0.16484738049921374,-0.08548473271773577,-0.16447176039218903,6.965047449120803e-7
"(50,65]",0.6558748483657837,0.02587035484611988,0.6050666459571143,0.6558797582815599,0.7066072318625898,0.6558918356895447,5.048624635476491e-7
"(65,85]",1.0435832738876343,0.025160714983940125,0.9941985071901454,1.043577471281883,1.0929559006756895,1.0435678958892822,4.328182611012022e-7
"(85,110]",1.417144775390625,0.04007336124777794,1.3381404530652534,1.417255381820798,1.495457384232566,1.4174792766571045,9.815231762459742e-7
Yes,0.28927862644195557,0.023017259314656258,0.24397789580006976,0.28931567106891987,0.334329244532964,0.2893916070461273,9.79718301782873e-7
F,0,NA,NA,NA,NA,NA,NA
"(16,50]",0,NA,NA,NA,NA,NA,NA
No,0,NA,NA,NA,NA,NA,NA
1,-0.007233934476971626,0.05871906876564026,-0.15572869015966667,-0.0012078957126084155,0.11497771560755354,-2.3966583830770105e-4,1.99222188755838e-6
2,-0.0014642024179920554,0.04283332824707031,-0.10506488257490341,5.230225115777595e-5,0.0939082932318653,6.570632831426337e-5,8.246047765639699e-7
3,0.012599384412169456,0.06062818691134453,-0.11022266178886907,0.0029462209687135116,0.1661915328577015,1.324410695815459e-4,1.0072729350981812e-5
4,-0.029268497601151466,0.08170248568058014,-0.2517820716188037,-0.004693871890686988,0.0989008476442434,-8.882103720679879e-4,3.7712420405993513e-4
5,0.008184386417269707,0.0678044781088829,-0.13960621057382025,0.0016906695762062786,0.17438733448142693,5.184224573895335e-4,6.338848998842196e-6
6,0.011275386437773705,0.06497465819120407,-0.12571293030002503,0.002659484101243193,0.1728202480741926,3.8525572745129466e-4,3.07995337350416e-5
7,0.028526335954666138,0.06578395515680313,-0.0729311905037952,0.00611314230291525,0.20224410101605952,-2.9147957684472203e-4,3.1495740881150314e-4
8,-0.0021914499811828136,0.062233082950115204,-0.15310154904966058,4.57312889849096e-5,0.13671937627054834,2.748562656051945e-5,3.1188868986688515e-7
9,0.0893707126379013,0.1773214191198349,-0.11435487345082226,0.016515981334519633,0.5826733984802808,0.002142626792192459,7.563177290189869e-4
10,-0.018395621329545975,0.07385129481554031,-0.21678222250858747,-0.0028451053681414797,0.11426578082760885,-1.752527168719098e-5,9.072397610089631e-5
11,-5.33206679392606e-4,0.06718330085277557,-0.16224849364722554,1.8989757143466474e-4,0.15078516471021836,1.6718135157134384e-4,1.2720426645874906e-7
12,0.08490841835737228,0.13756795227527618,-0.06700102798183458,0.02315616344859863,0.45200379302601296,0.0061028883792459965,0.002360444717695165
13,0.029771601781249046,0.07873377203941345,-0.09989306918505966,0.006983058729137022,0.2385231843181894,0.0016245609149336815,5.598492707358724e-4
14,1.4221919991541654e-4,0.057731833308935165,-0.13629755628149642,1.3683864133082958e-4,0.13293791440322988,1.347878569504246e-4,6.450189073666304e-7
15,0.022522078827023506,0.06445533782243729,-0.08912232094081786,0.005271794298368746,0.1922270797293946,9.481492452323437e-4,1.1481679861067521e-4
16,0.0038311872631311417,0.06444744020700455,-0.14340413317469053,0.0011795735259774137,0.15670344794735588,8.453604095848277e-5,1.5198067866188593e-7
17,-0.027012180536985397,0.07250325381755829,-0.22399666630070972,-0.0046545547489099046,0.08511047768858256,-0.0010655465302988887,7.446600033382943e-4
18,0.03269760310649872,0.0663067027926445,-0.052608770661588394,0.006956997527000963,0.21314221081920054,4.2558726272545755e-4,3.3078460662129983e-4
19,-0.011000201106071472,0.057761646807193756,-0.16248438154456143,-0.001262461008842872,0.09981666949069806,3.0362990219146013e-4,2.598217940607021e-5
20,-0.020715974271297455,0.072109222412109375,-0.2168085200281491,-0.0030712897972090605,0.10214409975165001,2.0553066860884428e-4,1.6817121917054624e-4
