"","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"fitted.Predictor.00001",0.0264279354982547,0.00612180650982513,0.0163446004086758,0.0257797199452688,0.0402149535309601,0.0245221987242095
"fitted.Predictor.00002",0.0782788872871069,0.010086816504069,0.0600814084538467,0.0777165591769315,0.09972626227656,0.0766734937497388
"fitted.Predictor.00003",0.0349571755343566,0.00805226567297867,0.0216591237190892,0.0341159734325392,0.0530590389976627,0.0324795631258306
"fitted.Predictor.00004",0.0057811678988286,0.00136620145121447,0.00354818976653245,0.00563087943476592,0.00887386884015199,0.00534141950230282
"fitted.Predictor.00005",0.0206770425636403,0.00233661082520203,0.0163139668579593,0.0205937081148132,0.0255560829694096,0.0204722599862534
"fitted.Predictor.00006",0.0160855187646327,0.0033875789874482,0.010437581972333,0.0157479785800399,0.0236702485706908,0.0151058846693244
"fitted.Predictor.00007",0.00528505218492873,0.00166128485888338,0.0027359195844921,0.005050124774819,0.00918322824795872,0.00461106581641919
"fitted.Predictor.00008",0.0221123730288325,0.00302478487096909,0.0166577301879595,0.0219417030172153,0.028568366310585,0.0216417304153642
"fitted.Predictor.00009",0.0300084080329395,0.00403887490461476,0.0228002201880512,0.029757143728447,0.0386657541872489,0.0292886456036777
"fitted.Predictor.00010",0.0200219067647712,0.00277006424651174,0.0150945590070746,0.0198444504674531,0.0259717161648658,0.0195128999325884
"fitted.Predictor.00011",0.0111991042237325,0.00245652566029432,0.00710850475427282,0.0109528866678652,0.0166985047711039,0.0104814764159259
"fitted.Predictor.00012",0.0178671326817462,0.00243477666022597,0.0135288720866066,0.0177130857516456,0.0230961884296388,0.0174299029379246
"fitted.Predictor.00013",0.0232330631534382,0.0028017533399541,0.0181631595245687,0.0230787339496996,0.0292017206725888,0.0228029022278758
"fitted.Predictor.00014",0.0176334269554737,0.00226738236813474,0.0135600109503225,0.017500384852132,0.0224767458547394,0.0172573540524093
"fitted.Predictor.00015",0.0130615551205585,0.002619952912162,0.00866594460121234,0.0128076473227407,0.0189187238445718,0.0123367231501704
"fitted.Predictor.00016",0.0152399519768411,0.00219915970246796,0.0112194253119042,0.0151404677217916,0.0198531700913426,0.0149699841838634
"fitted.Predictor.00017",0.027158228582034,0.00311440687520116,0.0214730479494527,0.0270015665764471,0.0337638425433646,0.0267310817547583
"fitted.Predictor.00018",0.0480046282732799,0.00626366046351112,0.0367825084871825,0.0476154269346444,0.0614915632530495,0.0469322564074106
"fitted.Predictor.00019",0.0211210709798152,0.00345496451400457,0.0149965484631177,0.0208983797241471,0.0285948110688627,0.0205375277846294
"fitted.Predictor.00020",0.0106102444643171,0.00196179049705677,0.00726783289789732,0.0104378831800558,0.0149375644194258,0.0101068261470199
"fitted.Predictor.00021",0.00770266601875965,0.00182408830292799,0.00472163332479099,0.00750188367881568,0.0118320816094444,0.00711504147805007
"fitted.Predictor.00022",0.0325267739183036,0.00526528056461518,0.023197555029386,0.0321816664601834,0.0438662329158023,0.0315525864194288
"fitted.Predictor.00023",0.00490651624956749,0.00117207591712909,0.00299550194659039,0.00477604735462218,0.00756382214953498,0.00452504251896279
"fitted.Predictor.00024",0.017588522831216,0.00207548976197815,0.0137450865254013,0.0175044541176688,0.0219411815840051,0.0173704771814842
"fitted.Predictor.00025",0.0968277864714855,0.0119456590822496,0.0751327119913949,0.0962108330365635,0.122086331546797,0.0950589636959719
"fitted.Predictor.00026",0.0151920995445023,0.002136170114528,0.0114016599586453,0.0150519247010897,0.0197923476336488,0.0147922069286545
"fitted.Predictor.00027",0.0197698792158632,0.00247244367124001,0.0153179259398673,0.0196274999536306,0.0250471914269779,0.0193693927715425
"fitted.Predictor.00028",0.0231236600825306,0.00275857030569188,0.0181154337448607,0.0229771636021384,0.0289887683448817,0.022718418858249
"fitted.Predictor.00029",0.00901116213901416,0.00169247268503427,0.00613553478037304,0.00885993027866579,0.0127512869456889,0.00856940576930766
"fitted.Predictor.00030",0.00653907106940525,0.00156467900837539,0.00398813441759716,0.00636482594503862,0.0100865651832059,0.00602949656329759
"fitted.Predictor.00031",0.0110760876322898,0.00260114825391457,0.00681521301430433,0.0107930098200141,0.0169558094784423,0.0102467350591378
"fitted.Predictor.00032",0.0390820418042168,0.00433873437445577,0.0309573332160342,0.0389349109533075,0.0481193698109221,0.0387219127669824
"fitted.Predictor.00033",0.0417352047050846,0.00559844873398606,0.0315982844290058,0.0414329839742206,0.0536459482411403,0.0409013963045546
"fitted.Predictor.00034",0.195628530769744,0.0207512729337828,0.157033544028972,0.194861805246611,0.23866463559874,0.19343947112044
"fitted.Predictor.00035",0.033855077668648,0.00453735558394259,0.0257433825565439,0.0335771308022871,0.0435735946440944,0.0330653440892953
"fitted.Predictor.00036",0.0147296818647545,0.0034586643037078,0.00906038170325517,0.0143544755519223,0.0225441323552037,0.0136296966882761
"fitted.Predictor.00037",0.0162319584661543,0.00378743579657377,0.0100140178706973,0.0158242798980441,0.0247806441765078,0.0150360450984152
"fitted.Predictor.00038",0.0547979893471322,0.00732973636088104,0.0416653088310601,0.0543602343339221,0.0704510403401978,0.0535384889625081
"fitted.Predictor.00039",0.0490874476351523,0.0064539371798406,0.0375066754606568,0.0487060669773249,0.0628717456445824,0.0480035107124534
"fitted.Predictor.00040",0.108173990250921,0.0118793415254465,0.0862847630999714,0.107649983256192,0.133122698882881,0.106716344414841
"fitted.Predictor.00041",0.0215461006341303,0.00501196499063452,0.0133050110340129,0.0210107613940355,0.0328467596936769,0.0199739636480536
"fitted.Predictor.00042",0.0234100947536341,0.00547015527515248,0.014420895276009,0.022824042887105,0.0357480557674101,0.0216888330617192
"fitted.Predictor.00043",0.0309924367797394,0.00718352915412598,0.019152300537734,0.0302343545445274,0.0471624811617119,0.0287619483742162
"fitted.Predictor.00044",0.0265562302616166,0.00615091087259178,0.016424534513175,0.0259050691383838,0.0404084038524776,0.0246417842272977
"fitted.Predictor.00045",0.162113119490324,0.0190535431857711,0.127145981319083,0.161254638602991,0.202020850048379,0.159629389610513
"fitted.Predictor.00046",0.00580999535801147,0.00137361514925692,0.00356509847881917,0.00565882547761236,0.0089196493601543,0.00536767724475717
"fitted.Predictor.00047",0.0207782181528212,0.00234924084742079,0.0163926376173065,0.0206940637209021,0.0256843932503125,0.0205710818820422
"fitted.Predictor.00048",0.0261653325357228,0.00363097269981131,0.0196308992962526,0.0259566526825148,0.0339148429483507,0.0255834696577958
"fitted.Predictor.00049",0.0320990687942019,0.00526167702235396,0.0227480149453838,0.0317671965079134,0.0433701593178544,0.0311432747437365
"fitted.Predictor.00050",0.00531142943306179,0.00167007216233619,0.00274904002503772,0.00507518698437968,0.00923041569190331,0.00463367930755101
"fitted.Predictor.00051",0.0222205902959153,0.0030419669539507,0.0167361915139056,0.0220485601262931,0.0287141550897363,0.0217459901325076
"fitted.Predictor.00052",0.112721840882038,0.0132363687315949,0.0885269355842868,0.112089308131481,0.140579315742267,0.11091968851461
"fitted.Predictor.00053",0.0301541708028962,0.00406248580336559,0.0229051712471398,0.0299010123837157,0.038863117948056,0.0294288253447044
